,Time,Vertical Disp
3468,8.747514974,-0.013946112
3469,8.750017805,-0.013943756
3470,8.752520636,-0.013941576
3471,8.755200521,-0.013939209
3472,8.757880406,-0.013936608
3473,8.760402708,-0.013933709
3474,8.762925017,-0.013930244
3475,8.765447285,-0.013926304
3476,8.767969554,-0.01392193
3477,8.770491203,-0.013917054
3478,8.773012858,-0.013911593
3479,8.775534357,-0.013905358
3480,8.778055858,-0.013898267
3481,8.780577315,-0.013890316
3482,8.783098776,-0.013881522
3483,8.785619545,-0.013871995
3484,8.788140314,-0.013861962
3485,8.790661886,-0.013851689
3486,8.793183463,-0.013841521
3487,8.795705271,-0.013831768
3488,8.79822708,-0.013822558
3489,8.800748925,-0.01381402
3490,8.803270772,-0.013806262
3491,8.805792194,-0.013799248
3492,8.808313617,-0.013793033
3493,8.810835929,-0.013787717
3494,8.813358236,-0.013783264
3495,8.815880467,-0.01377966
3496,8.818402698,-0.01377702
3497,8.820924665,-0.013775443
3498,8.823446626,-0.013774847
3499,8.825968396,-0.013775349
3500,8.828490165,-0.013777025
3501,8.831011593,-0.013779863
3502,8.833533016,-0.013784015
3503,8.836054247,-0.01378937
3504,8.838575478,-0.013795774
3505,8.8410974,-0.013803139
3506,8.843619323,-0.013811363
3507,8.846141016,-0.013820262
3508,8.848662709,-0.0138296
3509,8.851184362,-0.013839341
3510,8.853706017,-0.01384955
3511,8.856227439,-0.013860181
3512,8.858748862,-0.013871088
3513,8.861270208,-0.013882366
3514,8.863791555,-0.01389401
3515,8.866313747,-0.013905602
3516,8.86883594,-0.013916791
3517,8.871357872,-0.013927375
3518,8.873879795,-0.013937293
3519,8.87640168,-0.013946594
3520,8.878923565,-0.013955271
3521,8.881445607,-0.013963286
3522,8.883967646,-0.013970638
3523,8.886489645,-0.013977434
3524,8.889011646,-0.013983822
3525,8.891533603,-0.013989967
3526,8.894055564,-0.013995869
3527,8.89657718,-0.014001485
3528,8.899098795,-0.01400701
3529,8.901620911,-0.014012704
3530,8.904143026,-0.014018813
3531,8.906665334,-0.014025649
3532,8.909187641,-0.014033239
3533,8.911709988,-0.014041356
